col1,特征1,特征2,特征3,特征4,特征5,特征6,特征7,特征8,特征9,特征10,特征11,特征12,特征13,特征14,特征15,特征16,特征17,特征18,特征19,特征20,特征21,特征22,特征23,特征24,特征25,特征26,特征27,特征28,特征29,特征30,特征31,特征32,特征33,特征34,特征35,特征36,特征37,特征38,特征39,特征40,特征41,特征42,特征43
247,284.9407,359.8328,367.7761,345.2631,349.7538,378.93,366.4662,377.22,375.18,385.08,391.1376,395.9126,185.555,383.5569,382.4976,386.5338,390.5191,235.1543,2.757954,182.7264,28.92603,101.122,84846.69,33.5939,254.982,27.56099,0.04195045,121.3742,2.493914,307.4,151.455,186.5,8.357194,33.24499,207.4239,75.94634,235.8567,206.9761,207.7,0.988375,34.6326,60.70739,54.02199
244,285.0111,359.0706,368.5,344.7159,348.6741,377.67,366.473,377.37,376.027,386.4388,392.7141,396.39,188.0465,383.3929,382.4171,386.933,390.5118,237.7104,2.760294,186.3432,28.99471,98.99857,83848.99,33.5537,252.7628,27.91971,0.04319584,120.7164,2.48465,305.7,150.4286,184.176,7.87344,33.33082,207.2,76.03376,235.124,205.7,206,0.987815,34.75367,60.6746,54.09075
247,260.6896,358.475,367.6,345.51,351.1994,380.0806,369.7103,382.4303,375.9803,386.821,393.4103,395.5092,176.7043,380.7911,380.8016,383.7494,387.5392,236.9495,2.748521,172.4568,29.039,85.75791,73419.85,31.56355,231.7602,23.93758,0.03798671,108.9372,2.505,308,148.3405,191.9673,0.8559746,27.62122,207.8,69.1271,221.6308,206.2,206.8,0.98775,34.43597,59.16,45.92558
248,259.2439,359.2733,369.9317,344.3379,350.6889,381.93,369.7672,383.4206,375.5151,387.3489,395.0323,396.7406,166.7558,382.53,380.4394,383.13,386.6005,234.1272,2.75284,174.5688,29.07436,82.02955,74132.3,30.56846,230.5694,23.80073,0.03748641,104.0607,2.485917,308.3,149.6217,186.4,0.654718,27.49977,208.1,68.98898,216.2134,202.1682,203.1316,0.9881699,33.68431,60.38519,45.41541
247,265.394,358.8636,369.4727,343.8,349.65,379.9282,368.43,383.1218,375.2891,386.5636,394.6582,397.35,167.8614,382.9036,380.9509,383.37,386.3564,237.95,2.748982,180.2068,28.99396,82.38987,75314.18,32.1424,239.3257,23.05514,0.03862909,100.4898,2.503795,312,150.9851,187,0.8367273,28.57949,208.5,65.97,215.6727,200,202.3,0.9882841,33.50546,59.20682,46.97016
248,263.5249,359.1576,372.5,344.67,350.91,383.07,368.3687,381.8916,375.33,386.4984,394.4184,397.05,163.1597,382.53,381.4837,383.4624,386.4721,236.4101,2.749912,180.5326,28.962,84.4421,73952.91,31.5426,239.6127,22.89497,0.03871267,96.55434,2.503874,312.8,151.8488,188.9364,10.01178,29.64202,211.9364,65.96966,218.7636,200.6,202.4,0.9891708,33.40892,59.46233,48.20137
242,265.6079,359.8668,374.1,345.5204,351.3596,384.39,368.7405,381.8599,375.1294,385.7102,393.2102,395.85,164.3595,382.35,382.5097,385.3401,387.93,235.8399,2.749256,180.1156,29.05396,85.02691,76268.52,32.19615,239.7188,24.17351,0.04313329,102.1729,2.513129,312.5667,151.8346,188,8.666813,27.01969,207.9,66.10284,215.5667,200.3,201.9,0.992125,33.58134,60.98,46.38057
244,265.3598,359.8588,373.9324,344.94,351.12,385.23,368.5589,382.6395,375.5028,385.8195,392.9206,395.34,169.741,382.3394,382.2681,385.0605,388.1603,239.5359,2.7496,180.9965,29.11576,79.97282,76053.77,32.49546,238.7939,23.00735,0.04261352,101.9564,2.487271,314.3324,150.6148,184.3,0.6177379,27.05589,205.2676,65.56082,219.5676,198.8,200.7,0.9896215,33.62819,61.72852,46.26138
240,265.5649,360.3359,372.1283,344.94,351.42,383.97,368.6106,382.74,375.394,385.92,393.073,395.79,165.8393,382.697,382.007,385.376,388.2639,235.926,2.745521,177.8748,29.01672,87.79657,78146.6,32.73098,240.3832,24.05657,0.03903434,102.0549,2.506919,313.3566,150.7363,188.1,0.6256579,29.02032,208.6717,62.01171,220.9434,201.3,202.8717,0.9868397,33.45745,60.36924,47.34781
239,265.323,359.75,372.7338,344.9998,351.4598,382.9099,366.7405,378.1498,374.85,386.6899,393.5899,396.23,162.125,382.06,381.4397,384.72,387.5696,232.9417,2.748533,175.82,28.97386,79.75345,80470.43,31.17981,241.9436,26.03307,0.0414,109.0429,2.508097,312.8,151.841,184.5342,8.491147,29.08809,202.1685,61.8982,226.3315,200.4,202.1342,0.9914183,33.31781,62.18,50.40949
239,264.8598,359.7607,372.3287,344.8072,351.15,382.41,367.9288,380.07,375.0984,386.2756,392.9486,395.8928,163.598,381.8872,381.184,384.5228,387.3556,234.1573,2.750799,173.7309,28.99687,86.27696,76541.04,32.32148,236.9119,24.36,0.03817147,104.3801,2.505608,311.7573,152.7851,186.9,0.6285334,29.13361,203.7287,62.09917,218.1,201.9,202.1287,0.979375,33.21096,60.1657,48.17291
240,264.6104,360.025,372.4,345.0564,351.3652,382.74,369.3512,382.95,374.8816,385.7188,392.9612,395.4176,167.9813,381.5736,381.2876,384.33,387.4852,238.3147,2.752776,177.7867,29.09244,86.45408,75362.64,32.19078,237.7116,24.44397,0.03841414,103.166,2.507597,312.4,154.3461,189.6,9.4744,30.06037,203.7707,61.99007,222.088,202.1,203.4,0.988375,33.70309,61.67913,49.92316
240,263.4694,359.1475,371.79,345.36,351.78,382.32,369.06,383.154,374.925,385.518,392.64,395.25,172.665,381.648,381.204,384.27,387.393,242.0075,2.7502,176.2675,28.94301,88.8316,77414.4,33.38962,237.5545,24.12383,0.038268,108.5427,2.504525,312.6,153.5496,192.7,0.6044,28.3776,203.37,61.818,222.96,205.53,206.3,0.9871625,33.3468,60.4645,47.48136
